word_count,char_count,char_count_no_spaces,sentence_count,avg_word_length,avg_sentence_length,unique_word_count,lexical_diversity,digit_count,digit_ratio,uppercase_count,uppercase_ratio,punctuation_count,punctuation_ratio,syllable_count,flesch_kincaid_score,is_short_text,is_long_text
322,2454,2133,1,6.624223602484472,322.0,231,0.717391304347826,0,0.0,0,0.0,0,0.0,913,-382.1727639751553,0,1
283,1840,1558,1,5.5053003533568905,283.0,214,0.7561837455830389,0,0.0,0,0.0,0,0.0,658,-300.8028091872792,0,1
749,4690,3942,1,5.2630173564753004,749.0,415,0.5540720961281709,0,0.0,0,0.0,0,0.0,1678,-901.5082576769025,0,1
161,1262,1102,1,6.84472049689441,161.0,136,0.84472049689441,0,0.0,0,0.0,0,0.0,462,-174.9258695652174,0,1
546,3615,3070,1,5.622710622710622,546.0,372,0.6813186813186813,0,0.0,0,0.0,0,0.0,1298,-645.8400915750916,0,1
1174,7182,6009,1,5.1183986371379895,1174.0,664,0.565587734241908,0,0.0,0,0.0,0,0.0,2610,-1452.9774361158434,0,1
153,996,844,1,5.516339869281046,153.0,118,0.7712418300653595,0,0.0,0,0.0,0,0.0,377,-140.15454248366015,0,1
947,6189,5243,1,5.536430834213305,947.0,564,0.5955649419218585,0,0.0,0,0.0,0,0.0,2229,-1165.7252956705386,0,1
636,4350,3715,1,5.841194968553459,636.0,415,0.6525157232704403,0,0.0,0,0.0,0,0.0,1534,-764.923176100629,0,1
179,1261,1083,1,6.050279329608938,179.0,142,0.7932960893854749,0,0.0,0,0.0,0,0.0,455,-178.63315642458102,0,1
464,3209,2746,1,5.918103448275862,464.0,330,0.7112068965517241,0,0.0,0,0.0,0,0.0,1159,-546.4854741379311,0,1
856,5688,4833,1,5.646028037383178,856.0,444,0.5186915887850467,0,0.0,0,0.0,0,0.0,2010,-1047.0876635514019,0,1
94,627,534,1,5.680851063829787,94.0,78,0.8297872340425532,0,0.0,0,0.0,0,0.0,228,-61.1394680851064,0,0
143,1018,876,1,6.125874125874126,143.0,119,0.8321678321678322,0,0.0,0,0.0,0,0.0,357,-129.10486013986016,0,1
95,640,546,1,5.747368421052632,95.0,85,0.8947368421052632,0,0.0,0,0.0,0,0.0,228,-60.905,0,0
2338,14269,11932,1,5.103507271171942,2338.0,1139,0.4871685201026518,0,0.0,0,0.0,0,0.0,5115,-2964.0498160821217,0,1
285,2113,1829,1,6.417543859649123,285.0,226,0.7929824561403509,0,0.0,0,0.0,0,0.0,764,-324.7751754385965,0,1
846,5474,4629,1,5.471631205673759,846.0,474,0.5602836879432624,0,0.0,0,0.0,0,0.0,1944,-1031.0671276595745,0,1
296,2079,1784,1,6.027027027027027,296.0,223,0.7533783783783784,0,0.0,0,0.0,0,0.0,752,-330.6514864864865,0,1
995,6425,5431,1,5.458291457286432,995.0,656,0.6592964824120603,0,0.0,0,0.0,0,0.0,2305,-1225.891633165829,0,1
558,3836,3279,1,5.876344086021505,558.0,401,0.7186379928315412,0,0.0,0,0.0,0,0.0,1398,-669.1381182795699,0,1
720,4618,3899,1,5.415277777777778,720.0,475,0.6597222222222222,0,0.0,0,0.0,0,0.0,1632,-865.3916666666667,0,1
177,1261,1085,1,6.129943502824859,177.0,144,0.8135593220338984,0,0.0,0,0.0,0,0.0,458,-178.77799435028248,0,1
243,1679,1437,1,5.91358024691358,243.0,187,0.7695473251028807,0,0.0,0,0.0,0,0.0,612,-260.42796296296297,0,1
866,5595,4730,1,5.46189376443418,866.0,520,0.6004618937644342,0,0.0,0,0.0,0,0.0,1967,-1055.4738914549653,0,1
68,416,349,1,5.132352941176471,68.0,44,0.6470588235294118,0,0.0,0,0.0,0,0.0,155,-18.557647058823534,0,0
246,1859,1614,1,6.560975609756097,246.0,196,0.7967479674796748,0,0.0,0,0.0,0,0.0,648,-271.2771951219512,0,1
261,1719,1459,1,5.590038314176245,261.0,188,0.7203065134099617,0,0.0,0,0.0,0,0.0,605,-271.77726053639844,0,1
740,5345,4606,1,6.224324324324324,740.0,510,0.6891891891891891,0,0.0,0,0.0,0,0.0,2003,-917.841081081081,0,1
133,888,756,1,5.684210526315789,133.0,111,0.8345864661654135,0,0.0,0,0.0,0,0.0,327,-113.82966165413535,0,1
487,3546,3060,1,6.283367556468172,487.0,381,0.7823408624229979,0,0.0,0,0.0,0,0.0,1264,-582.253501026694,0,1
192,1365,1174,1,6.114583333333333,192.0,154,0.8020833333333334,0,0.0,0,0.0,0,0.0,506,-201.15354166666668,0,1
225,1803,1579,1,7.017777777777778,225.0,175,0.7777777777777778,0,0.0,0,0.0,0,0.0,644,-257.68455555555556,0,1
92,631,540,1,5.869565217391305,92.0,73,0.7934782608695652,0,0.0,0,0.0,0,0.0,220,-56.482391304347814,0,0
672,4370,3699,1,5.504464285714286,672.0,436,0.6488095238095238,0,0.0,0,0.0,0,0.0,1529,-803.5103869047618,0,1
105,742,638,1,6.076190476190476,105.0,95,0.9047619047619048,0,0.0,0,0.0,0,0.0,280,-89.93166666666664,0,1
140,870,731,1,5.2214285714285715,140.0,119,0.85,0,0.0,0,0.0,0,0.0,264,-88.49642857142857,0,1
332,2471,2140,1,6.445783132530121,332.0,248,0.7469879518072289,0,0.0,0,0.0,0,0.0,919,-391.12614457831324,0,1
729,4791,4063,1,5.573388203017832,729.0,520,0.7133058984910837,0,0.0,0,0.0,0,0.0,1728,-883.3242592592593,0,1
261,1859,1599,1,6.126436781609195,261.0,208,0.7969348659003831,0,0.0,0,0.0,0,0.0,679,-288.8171072796935,0,1
368,2955,2588,1,7.032608695652174,368.0,281,0.7635869565217391,0,0.0,0,0.0,0,0.0,1119,-454.31472826086963,0,1
1131,7326,6196,1,5.478337754199823,1131.0,689,0.6091954022988506,0,0.0,0,0.0,0,0.0,2633,-1403.3795004420865,0,1
383,2589,2207,1,5.762402088772846,383.0,268,0.6997389033942559,0,0.0,0,0.0,0,0.0,906,-433.2336684073108,0,1
